"","ID","Intercept","umol.L.sec","Temp.C"
"74","Mplan_1_30C",166.087670417307,-0.0138031938044034,30.019447761194
"75","Mplan_1_32C",151.331094281583,-0.0122060660124888,32.114859375
"76","Mplan_1_34C",149.430456971952,-0.0149783637888901,34.0799795918367
"77","Mplan_1_36C",115.35063951952,-0.0130749549549549,35.8554736842105
"78","Mplan_10_20C",194.05663541014,-0.0038547499848069,19.9427243589744
"79","Mplan_10_24C",206.90386072862,-0.00519299406654384,23.9027083333333
"80","Mplan_10_28C",189.783872911392,-0.00946224926971759,28.1856629213483
"81","Mplan_10_30C",175.683838484317,-0.0129593493083967,30.0318333333333
"82","Mplan_10_32C",158.022470165913,-0.012321447963801,32.154875
"83","Mplan_10_34C",149.697546531763,-0.0138642605456559,34.0951296296296
